object obsid mode pc1 pc1_err pc2 pc2_err hue hue_err hardness hardness_err
aquila_X1 50049-01-04-01 event 49.0143041208 13.3329967188 0.173934057272 0.0139844804964 156.911184142 6.46811493036 1.33417 0.00302
aquila_X1 50049-01-05-00 event 0.197806034688 0.0437312044022 2.0884636607 0.41672012813 341.009992743 7.72510481472 0.59227 0.00063
aquila_X1 50049-02-02-00 event 0.414441882196 0.0651853434909 4.00597996991 1.33683277945 357.353590513 10.9532289851 0.56313 0.00042
aquila_X1 50049-02-03-02 event 0.27827266605 0.0876249317812 2.58072498916 0.866633796438 346.948531075 13.2561059885 0.57145 0.0007
aquila_X1 50049-02-08-00 event 0.326904345842 0.0452826443718 2.73406241232 0.587708984658 349.365910176 8.03979784489 0.57795 0.00039
aquila_X1 50049-02-08-03 event 0.342310145677 0.0775141829563 2.61735521255 0.640302198001 349.181933207 10.1105539715 0.56559 0.0007
aquila_X1 50049-02-10-00 event 0.222688773842 0.0338834660851 4.93518009128 1.27411600013 353.408287166 7.66846557662 0.57435 0.00042
aquila_X1 50049-02-14-00 event 0.164185438851 0.0288588091368 3.06813026337 1.00713020215 344.965822595 10.2608506327 0.58115 0.00055
aquila_X1 70426-01-01-00 gx1 69.3169233336 14.8793757025 0.0807762862908 0.00537783859599 167.296213239 5.21798690984 1.29334 0.00244
aquila_X1 90017-01-01-01 gx1 20.8217432554 5.49281099872 0.360675778186 0.0325681132911 143.54397846 8.32814135854 1.36269 0.00506
aquila_X1 90017-01-01-02 gx1 20.0462916765 3.94607116539 0.295215028639 0.0222865992909 151.092992014 7.72331896896 1.35289 0.0037
aquila_X1 90017-01-02-01 gx1 33.7121889966 7.62729522178 0.227231781662 0.0169875780706 153.989389267 6.33596373232 1.34459 0.00346
aquila_X1 90017-01-06-01 gx1 61.9177996783 13.1844159341 0.112464723926 0.00768545703145 163.053124088 5.19978151615 1.31823 0.00299
aquila_X1 90017-01-07-00 gx1 41.1404732371 11.9041326529 0.12379482334 0.0146254484777 165.458862685 9.19415651047 1.3102 0.00459
aquila_X1 90017-01-08-00 gx1 63.3276822719 18.8193683066 0.0956070031358 0.00882658944534 165.534975483 7.34498008497 1.31044 0.00391
aquila_X1 90017-01-08-01 gx1 37.4900435458 9.06592739517 0.146536462422 0.0126493406941 163.110843565 7.53719020604 1.31121 0.0037
aquila_X1 90017-01-09-00 gx1 49.320752544 14.2858602587 0.144143736157 0.0138098452136 160.630743503 7.57395311508 1.34171 0.00453
aquila_X1 90017-01-09-01 gx1 58.1739593921 13.002358038 0.0958987250378 0.00704115933889 166.310960018 5.82340134555 1.30684 0.00293
aquila_X1 90403-01-01-00 event 72.9189017424 19.0554749152 0.0915839964712 0.00766369689973 164.916706324 6.13292000665 1.28751 0.00315
aquila_X1 90403-01-01-01 event 50.0218813049 11.5728005254 0.156633390594 0.012369538104 158.864517929 5.93293508719 1.33735 0.00408
aquila_X1 90403-01-02-00 event 49.6831386558 10.9290834852 0.173295165561 0.0125745732133 156.874730618 5.41705104304 1.33455 0.00385
aquila_X1 90403-01-03-00 event 22.587541333 6.15750241115 0.299861035331 0.02892639493 149.434491085 9.17267541348 1.35953 0.00493
aquila_X1 90403-01-03-01 event 43.4704104298 11.2118321361 0.164572547601 0.0141729968779 159.131949741 6.99468948635 1.35377 0.0047
aquila_X1 90403-01-04-00 event 45.3390722048 11.8226425291 0.125753346242 0.011065963001 164.09536737 7.41387256806 1.3265 0.00477
aquila_X1 91028-01-01-00 gx1 20.9725994417 4.49776627486 0.345802414486 0.0269821677578 145.035491945 7.23153385284 1.36861 0.0046
aquila_X1 91028-01-03-00 event 29.2689183184 8.67783837541 0.24422141796 0.0248231913219 153.343355555 8.99655947201 1.34081 0.00546
aquila_X1 91028-01-05-00 event 28.6828528217 5.70668961897 0.292937732037 0.0217733379411 148.320221859 5.9487737871 1.35617 0.00411
aquila_X1 91028-01-06-00 event 42.8541037064 11.1453872227 0.15373343704 0.013107664883 160.693254162 7.21115860484 1.33495 0.00412
